pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Signaling by NOTCH3	R-HSA-9012852	 Reactome	 hsapiens	52	287	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9012852	49.0
Synthesis of Leukotrienes (LT) and Eoxins (EX)	R-HSA-2142691	 Reactome	 hsapiens	52	321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142691	20.0
Signaling by FGFR2 in disease	R-HSA-5655253	 Reactome	 hsapiens	52	696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655253	44.0
Tat-mediated elongation of the HIV-1 transcript	R-HSA-167246	 Reactome	 hsapiens	52	1329	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167246	44.0
HIV Transcription Elongation	R-HSA-167169	 Reactome	 hsapiens	52	1363	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167169	44.0
RNA Polymerase II HIV Promoter Escape	R-HSA-167162	 Reactome	 hsapiens	52	2270	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167162	47.0
TP53 Regulates Transcription of Cell Cycle Genes	R-HSA-6791312	 Reactome	 hsapiens	51	168	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6791312	48.0
Synthesis of very long-chain fatty acyl-CoAs	R-HSA-75876	 Reactome	 hsapiens	51	278	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75876	16.0
Keratan sulfate/keratin metabolism	R-HSA-1638074	 Reactome	 hsapiens	51	294	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1638074	31.0
G1 Phase	R-HSA-69236	 Reactome	 hsapiens	51	423	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69236	47.0
LXR-mediated signaling	R-HSA-9024446	 Reactome	 hsapiens	51	443	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9024446	47.0
Carboxyterminal post-translational modifications of tubulin	R-HSA-8955332	 Reactome	 hsapiens	51	451	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8955332	34.0
DAP12 interactions	R-HSA-2172127	 Reactome	 hsapiens	51	508	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2172127	41.0
Telomere C-strand (Lagging Strand) Synthesis	R-HSA-174417	 Reactome	 hsapiens	51	921	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174417	34.0
Regulation of ornithine decarboxylase (ODC)	R-HSA-350562	 Reactome	 hsapiens	51	1181	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-350562	51.0
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	R-HSA-2173793	 Reactome	 hsapiens	50	290	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173793	44.0
NOTCH1 Intracellular Domain Regulates Transcription	R-HSA-2122947	 Reactome	 hsapiens	50	308	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2122947	48.0
Cytosolic tRNA aminoacylation	R-HSA-379716	 Reactome	 hsapiens	50	309	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379716	24.0
Citric acid cycle (TCA cycle)	R-HSA-71403	 Reactome	 hsapiens	50	364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71403	22.0
Platelet Aggregation (Plug Formation)	R-HSA-76009	 Reactome	 hsapiens	50	487	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-76009	34.0
TNF signaling	R-HSA-75893	 Reactome	 hsapiens	50	568	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75893	44.0
MTOR signalling	R-HSA-165159	 Reactome	 hsapiens	50	810	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165159	41.0
Signaling by FGFR3	R-HSA-5654741	 Reactome	 hsapiens	50	873	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654741	40.0
Formation of HIV elongation complex in the absence of HIV Tat	R-HSA-167152	 Reactome	 hsapiens	50	1220	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167152	46.0
Regulation of activated PAK-2p34 by proteasome mediated degradation	R-HSA-211733	 Reactome	 hsapiens	50	1223	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211733	50.0
Paradoxical activation of RAF signaling by kinase inactive BRAF	R-HSA-6802955	 Reactome	 hsapiens	50	1422	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802955	45.0
Signaling by moderate kinase activity BRAF mutants	R-HSA-6802946	 Reactome	 hsapiens	50	1426	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802946	45.0
Signaling by RAS mutants	R-HSA-6802949	 Reactome	 hsapiens	50	1430	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802949	45.0
Signaling downstream of RAS mutants	R-HSA-9649948	 Reactome	 hsapiens	50	1430	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9649948	45.0
HSP90 chaperone cycle for SHRs	R-HSA-3371497	 Reactome	 hsapiens	50	1448	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371497	38.0
PKMTs methylate histone lysines	R-HSA-3214841	 Reactome	 hsapiens	49	237	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214841	71.0
Aflatoxin activation and detoxification	R-HSA-5423646	 Reactome	 hsapiens	49	268	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5423646	16.0
Activation of gene expression by SREBF (SREBP)	R-HSA-2426168	 Reactome	 hsapiens	49	293	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2426168	42.0
Signaling by SCF-KIT	R-HSA-1433557	 Reactome	 hsapiens	49	355	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1433557	43.0
RNA Polymerase I Transcription Initiation	R-HSA-73762	 Reactome	 hsapiens	49	650	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73762	47.0
GABA B receptor activation	R-HSA-977444	 Reactome	 hsapiens	49	664	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977444	43.0
Smooth Muscle Contraction	R-HSA-445355	 Reactome	 hsapiens	49	807	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-445355	40.0
Signaling by FGFR4	R-HSA-5654743	 Reactome	 hsapiens	49	972	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654743	41.0
Formation of HIV-1 elongation complex containing HIV-1 Tat	R-HSA-167200	 Reactome	 hsapiens	49	1189	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167200	44.0
XBP1(S) activates chaperone genes	R-HSA-381038	 Reactome	 hsapiens	48	47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381038	50.0
Interleukin-12 signaling	R-HSA-9020591	 Reactome	 hsapiens	48	132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9020591	47.0
Blood group systems biosynthesis	R-HSA-9033658	 Reactome	 hsapiens	48	230	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9033658	20.0
Plasma lipoprotein remodeling	R-HSA-8963899	 Reactome	 hsapiens	48	270	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8963899	27.0
Ca-dependent events	R-HSA-111996	 Reactome	 hsapiens	48	288	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111996	39.0
Negative regulation of MAPK pathway	R-HSA-5675221	 Reactome	 hsapiens	48	364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5675221	43.0
Intra-Golgi traffic	R-HSA-6811438	 Reactome	 hsapiens	48	444	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811438	44.0
Inhibition of DNA recombination at telomere	R-HSA-9670095	 Reactome	 hsapiens	48	617	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9670095	68.0
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	R-HSA-110313	 Reactome	 hsapiens	48	865	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110313	39.0
Interleukin-10 signaling	R-HSA-6783783	 Reactome	 hsapiens	47	79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783783	47.0
Mitochondrial tRNA aminoacylation	R-HSA-379726	 Reactome	 hsapiens	47	150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379726	21.0
SUMOylation of RNA binding proteins	R-HSA-4570464	 Reactome	 hsapiens	47	616	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4570464	47.0
Formation of Incision Complex in GG-NER	R-HSA-5696395	 Reactome	 hsapiens	47	783	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696395	43.0
Activation of rRNA Expression by ERCC6 (CSB) and EHMT2 (G9a)	R-HSA-427389	 Reactome	 hsapiens	47	910	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-427389	76.0
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	R-HSA-5625886	 Reactome	 hsapiens	47	1120	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5625886	67.0
Surfactant metabolism	R-HSA-5683826	 Reactome	 hsapiens	46	201	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5683826	25.0
Pentose phosphate pathway	R-HSA-71336	 Reactome	 hsapiens	46	222	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71336	15.0
Signaling by FGFR1 in disease	R-HSA-5655302	 Reactome	 hsapiens	46	673	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655302	38.0
RNA Polymerase III Transcription	R-HSA-74158	 Reactome	 hsapiens	46	817	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-74158	41.0
Signaling by RAF1 mutants	R-HSA-9656223	 Reactome	 hsapiens	46	836	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9656223	41.0
SUMOylation of DNA replication proteins	R-HSA-4615885	 Reactome	 hsapiens	46	1047	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4615885	45.0
MAP2K and MAPK activation	R-HSA-5674135	 Reactome	 hsapiens	46	1582	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5674135	38.0
Incretin synthesis, secretion, and inactivation	R-HSA-400508	 Reactome	 hsapiens	45	158	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-400508	23.0
FLT3 Signaling	R-HSA-9607240	 Reactome	 hsapiens	45	221	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9607240	38.0
PD-1 signaling	R-HSA-389948	 Reactome	 hsapiens	45	779	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389948	23.0
Phosphorylation of CD3 and TCR zeta chains	R-HSA-202427	 Reactome	 hsapiens	45	932	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202427	22.0
Regulation of beta-cell development	R-HSA-186712	 Reactome	 hsapiens	44	103	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-186712	41.0
RIPK1-mediated regulated necrosis	R-HSA-5213460	 Reactome	 hsapiens	44	176	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5213460	29.0
SUMOylation of transcription cofactors	R-HSA-3899300	 Reactome	 hsapiens	44	210	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3899300	45.0
Deactivation of the beta-catenin transactivating complex	R-HSA-3769402	 Reactome	 hsapiens	44	228	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3769402	42.0
VEGFR2 mediated vascular permeability	R-HSA-5218920	 Reactome	 hsapiens	44	363	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5218920	29.0
COPI-independent Golgi-to-ER retrograde traffic	R-HSA-6811436	 Reactome	 hsapiens	44	849	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811436	34.0
Ovarian tumor domain proteases	R-HSA-5689896	 Reactome	 hsapiens	43	94	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689896	38.0
HS-GAG degradation	R-HSA-2024096	 Reactome	 hsapiens	43	173	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2024096	21.0
Glycogen metabolism	R-HSA-8982491	 Reactome	 hsapiens	43	260	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8982491	29.0
Calmodulin induced events	R-HSA-111933	 Reactome	 hsapiens	43	265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111933	37.0
CaM pathway	R-HSA-111997	 Reactome	 hsapiens	43	265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111997	37.0
Metabolism of folate and pterines	R-HSA-196757	 Reactome	 hsapiens	43	321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196757	15.0
Formation of Fibrin Clot (Clotting Cascade)	R-HSA-140877	 Reactome	 hsapiens	43	338	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140877	39.0
EPHB-mediated forward signaling	R-HSA-3928662	 Reactome	 hsapiens	43	343	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3928662	33.0
Transport of Mature mRNAs Derived from Intronless Transcripts	R-HSA-159234	 Reactome	 hsapiens	43	1046	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159234	42.0
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	R-HSA-381771	 Reactome	 hsapiens	42	128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381771	20.0
Plasma lipoprotein clearance	R-HSA-8964043	 Reactome	 hsapiens	42	208	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8964043	31.0
Regulation of TP53 Expression and Degradation	R-HSA-6806003	 Reactome	 hsapiens	42	249	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806003	37.0
Acyl chain remodelling of PE	R-HSA-1482839	 Reactome	 hsapiens	42	287	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482839	20.0
SIRT1 negatively regulates rRNA expression	R-HSA-427359	 Reactome	 hsapiens	42	775	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-427359	68.0
Translocation of ZAP-70 to Immunological synapse	R-HSA-202430	 Reactome	 hsapiens	42	779	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202430	19.0
Transport of Mature mRNA Derived from an Intronless Transcript	R-HSA-159231	 Reactome	 hsapiens	42	951	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159231	41.0
NS1 Mediated Effects on Host Pathways	R-HSA-168276	 Reactome	 hsapiens	42	955	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168276	37.0
Fanconi Anemia Pathway	R-HSA-6783310	 Reactome	 hsapiens	42	1079	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783310	40.0
Export of Viral Ribonucleoproteins from Nucleus	R-HSA-168274	 Reactome	 hsapiens	42	1093	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168274	31.0
NGF-stimulated transcription	R-HSA-9031628	 Reactome	 hsapiens	41	100	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9031628	39.0
O-glycosylation of TSR domain-containing proteins	R-HSA-5173214	 Reactome	 hsapiens	41	151	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5173214	37.0
Regulation of TP53 Degradation	R-HSA-6804757	 Reactome	 hsapiens	41	247	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804757	36.0
Calnexin/calreticulin cycle	R-HSA-901042	 Reactome	 hsapiens	41	305	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-901042	26.0
LXRs regulate gene expression linked to cholesterol transport and efflux	R-HSA-9029569	 Reactome	 hsapiens	41	359	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9029569	37.0
RHO GTPases Activate WASPs and WAVEs	R-HSA-5663213	 Reactome	 hsapiens	41	689	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663213	36.0
Signaling by high-kinase activity BRAF mutants	R-HSA-6802948	 Reactome	 hsapiens	41	783	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802948	34.0
NEP/NS2 Interacts with the Cellular Export Machinery	R-HSA-168333	 Reactome	 hsapiens	41	1055	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168333	31.0
RAS processing	R-HSA-9648002	 Reactome	 hsapiens	40	219	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9648002	23.0
Glucagon signaling in metabolic regulation	R-HSA-163359	 Reactome	 hsapiens	40	226	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163359	33.0
Regulation of TNFR1 signaling	R-HSA-5357905	 Reactome	 hsapiens	40	252	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5357905	35.0
Acyl chain remodelling of PC	R-HSA-1482788	 Reactome	 hsapiens	40	282	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482788	17.0
Signalling to ERKs	R-HSA-187687	 Reactome	 hsapiens	40	354	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-187687	34.0
HS-GAG biosynthesis	R-HSA-2022928	 Reactome	 hsapiens	40	371	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2022928	30.0
RAF activation	R-HSA-5673000	 Reactome	 hsapiens	40	481	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5673000	36.0
DNA Damage Recognition in GG-NER	R-HSA-5696394	 Reactome	 hsapiens	40	586	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696394	38.0
Defective B3GALTL causes Peters-plus syndrome (PpS)	R-HSA-5083635	 Reactome	 hsapiens	39	38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5083635	36.0
SUMOylation of intracellular receptors	R-HSA-4090294	 Reactome	 hsapiens	39	116	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4090294	30.0
Lewis blood group biosynthesis	R-HSA-9037629	 Reactome	 hsapiens	39	173	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9037629	18.0
Transcriptional Regulation by VENTX	R-HSA-8853884	 Reactome	 hsapiens	39	223	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8853884	39.0
RA biosynthesis pathway	R-HSA-5365859	 Reactome	 hsapiens	39	327	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5365859	21.0
CD28 co-stimulation	R-HSA-389356	 Reactome	 hsapiens	39	339	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389356	33.0
Regulation of TP53 Activity through Acetylation	R-HSA-6804758	 Reactome	 hsapiens	39	375	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804758	30.0
Activation of ATR in response to replication stress	R-HSA-176187	 Reactome	 hsapiens	39	391	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-176187	37.0
Glutamate binding, activation of AMPA receptors and synaptic plasticity	R-HSA-399721	 Reactome	 hsapiens	39	520	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-399721	31.0
SUMOylation of ubiquitinylation proteins	R-HSA-3232142	 Reactome	 hsapiens	39	542	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3232142	38.0
HDR through Single Strand Annealing (SSA)	R-HSA-5685938	 Reactome	 hsapiens	39	627	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5685938	37.0
Sealing of the nuclear envelope (NE) by ESCRT-III	R-HSA-9668328	 Reactome	 hsapiens	39	655	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9668328	29.0
Apoptotic cleavage of cellular proteins	R-HSA-111465	 Reactome	 hsapiens	38	44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111465	38.0
FGFR2 mutant receptor activation	R-HSA-1839126	 Reactome	 hsapiens	38	261	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1839126	34.0
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	R-HSA-442742	 Reactome	 hsapiens	38	425	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-442742	29.0
Integrin signaling	R-HSA-354192	 Reactome	 hsapiens	38	460	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-354192	27.0
Negative regulation of FGFR2 signaling	R-HSA-5654727	 Reactome	 hsapiens	38	525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654727	34.0
Inwardly rectifying K+ channels	R-HSA-1296065	 Reactome	 hsapiens	38	537	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296065	35.0
Downstream signaling of activated FGFR1	R-HSA-5654687	 Reactome	 hsapiens	38	631	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654687	31.0
Nuclear Pore Complex (NPC) Disassembly	R-HSA-3301854	 Reactome	 hsapiens	38	699	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3301854	35.0
Striated Muscle Contraction	R-HSA-390522	 Reactome	 hsapiens	38	957	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390522	34.0
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	R-HSA-8950505	 Reactome	 hsapiens	37	36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8950505	38.0
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	R-HSA-8864260	 Reactome	 hsapiens	37	98	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8864260	38.0
RUNX2 regulates bone development	R-HSA-8941326	 Reactome	 hsapiens	37	110	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8941326	32.0
Keratan sulfate biosynthesis	R-HSA-2022854	 Reactome	 hsapiens	37	239	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2022854	26.0
FLT3 signaling in disease	R-HSA-9682385	 Reactome	 hsapiens	37	258	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9682385	28.0
Recycling of bile acids and salts	R-HSA-159418	 Reactome	 hsapiens	37	338	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159418	15.0
Negative regulation of FGFR1 signaling	R-HSA-5654726	 Reactome	 hsapiens	37	483	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654726	33.0
Trafficking of AMPA receptors	R-HSA-399719	 Reactome	 hsapiens	37	498	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-399719	31.0
Downstream signaling of activated FGFR2	R-HSA-5654696	 Reactome	 hsapiens	37	678	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654696	30.0
Resolution of D-Loop Structures	R-HSA-5693537	 Reactome	 hsapiens	37	741	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693537	34.0
EGFR downregulation	R-HSA-182971	 Reactome	 hsapiens	37	833	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-182971	31.0
Synthesis of glycosylphosphatidylinositol (GPI)	R-HSA-162710	 Reactome	 hsapiens	36	130	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162710	18.0
Negative regulators of RIG-I/MDA5 signaling	R-HSA-936440	 Reactome	 hsapiens	36	136	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-936440	34.0
Transcriptional Regulation by E2F6	R-HSA-8953750	 Reactome	 hsapiens	36	190	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8953750	35.0
Oncogene Induced Senescence	R-HSA-2559585	 Reactome	 hsapiens	36	212	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559585	33.0
NOD1/2 Signaling Pathway	R-HSA-168638	 Reactome	 hsapiens	36	229	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168638	33.0
GABA synthesis, release, reuptake and degradation	R-HSA-888590	 Reactome	 hsapiens	36	295	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-888590	19.0
TGF-beta receptor signaling activates SMADs	R-HSA-2173789	 Reactome	 hsapiens	36	357	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173789	32.0
Energy dependent regulation of mTOR by LKB1-AMPK	R-HSA-380972	 Reactome	 hsapiens	36	519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380972	29.0
Activation of the pre-replicative complex	R-HSA-68962	 Reactome	 hsapiens	36	525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68962	33.0
Regulation of Glucokinase by Glucokinase Regulatory Protein	R-HSA-170822	 Reactome	 hsapiens	36	569	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-170822	31.0
Resolution of D-loop Structures through Holliday Junction Intermediates	R-HSA-5693568	 Reactome	 hsapiens	36	712	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693568	33.0
Transport of the SLBP Dependant Mature mRNA	R-HSA-159230	 Reactome	 hsapiens	36	801	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159230	35.0
Transport of Ribonucleoproteins into the Host Nucleus	R-HSA-168271	 Reactome	 hsapiens	36	809	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168271	31.0
Budding and maturation of HIV virion	R-HSA-162588	 Reactome	 hsapiens	36	970	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162588	29.0
Activation of Matrix Metalloproteinases	R-HSA-1592389	 Reactome	 hsapiens	35	79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1592389	33.0
Vitamin B5 (pantothenate) metabolism	R-HSA-199220	 Reactome	 hsapiens	35	125	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-199220	17.0
DARPP-32 events	R-HSA-180024	 Reactome	 hsapiens	35	143	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-180024	23.0
Nitric oxide stimulates guanylate cyclase	R-HSA-392154	 Reactome	 hsapiens	35	153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-392154	22.0
MAPK targets/ Nuclear events mediated by MAP kinases	R-HSA-450282	 Reactome	 hsapiens	35	159	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450282	31.0
Diseases of mitotic cell cycle	R-HSA-9675126	 Reactome	 hsapiens	35	248	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9675126	35.0
Aberrant regulation of mitotic cell cycle due to RB1 defects	R-HSA-9687139	 Reactome	 hsapiens	35	248	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9687139	35.0
TAK1 activates NFkB by phosphorylation and activation of IKKs complex	R-HSA-445989	 Reactome	 hsapiens	35	263	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-445989	29.0
Endosomal Sorting Complex Required For Transport (ESCRT)	R-HSA-917729	 Reactome	 hsapiens	35	338	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-917729	32.0
Thrombin signalling through proteinase activated receptors (PARs)	R-HSA-456926	 Reactome	 hsapiens	35	340	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-456926	32.0
