pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""HCMV Infection"" pathway"	R-HSA-9609646	 Reactome	 hsapiens	 244	 13713	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609646
"""HCMV Early Events"" pathway"	R-HSA-9609690	 Reactome	 hsapiens	 189	 6682	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609690
"""Assembly and cell surface presentation of NMDA receptors"" pathway"	R-HSA-9609736	 Reactome	 hsapiens	 28	 222	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609736
"""HCMV Late Events"" pathway"	R-HSA-9610379	 Reactome	 hsapiens	 170	 8152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9610379
"""Autophagy"" pathway"	R-HSA-9612973	 Reactome	 hsapiens	 146	 2364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9612973
"""Lipophagy"" pathway"	R-HSA-9613354	 Reactome	 hsapiens	 12	 72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9613354
"""Chaperone Mediated Autophagy"" pathway"	R-HSA-9613829	 Reactome	 hsapiens	 22	 112	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9613829
"""FOXO-mediated transcription"" pathway"	R-HSA-9614085	 Reactome	 hsapiens	 78	 264	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9614085
"""Regulation of localization of FOXO transcription factors"" pathway"	R-HSA-9614399	 Reactome	 hsapiens	 14	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9614399
"""FOXO-mediated transcription of cell death genes"" pathway"	R-HSA-9614657	 Reactome	 hsapiens	 16	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9614657
"""FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"" pathway"	R-HSA-9615017	 Reactome	 hsapiens	 34	 84	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9615017
"""Late endosomal microautophagy"" pathway"	R-HSA-9615710	 Reactome	 hsapiens	 34	 674	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9615710
"""Postmitotic nuclear pore complex (NPC) reformation"" pathway"	R-HSA-9615933	 Reactome	 hsapiens	 31	 242	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9615933
"""Transcriptional regulation of granulopoiesis"" pathway"	R-HSA-9616222	 Reactome	 hsapiens	 60	 557	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9616222
"""Negative regulation of NMDA receptor-mediated neuronal transmission"" pathway"	R-HSA-9617324	 Reactome	 hsapiens	 27	 235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9617324
"""Regulation of FOXO transcriptional activity by acetylation"" pathway"	R-HSA-9617629	 Reactome	 hsapiens	 16	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9617629
"""FOXO-mediated transcription of cell cycle genes"" pathway"	R-HSA-9617828	 Reactome	 hsapiens	 17	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9617828
"""Activation of RAC1 downstream of NMDARs"" pathway"	R-HSA-9619229	 Reactome	 hsapiens	 12	 59	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9619229
"""Activation of AMPK downstream of NMDARs"" pathway"	R-HSA-9619483	 Reactome	 hsapiens	 13	 91	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9619483
"""EGR2 and SOX10-mediated initiation of Schwann cell myelination"" pathway"	R-HSA-9619665	 Reactome	 hsapiens	 28	 70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9619665
"""Long-term potentiation"" pathway"	R-HSA-9620244	 Reactome	 hsapiens	 29	 428	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9620244
"""LXRs regulate gene expression to control bile acid homeostasis"" pathway"	R-HSA-9623433	 Reactome	 hsapiens	 13	 60	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9623433
"""Regulation of the apoptosome activity"" pathway"	R-HSA-9627069	 Reactome	 hsapiens	 13	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9627069
"""LXRs regulate gene expression linked to gluconeogenesis"" pathway"	R-HSA-9632974	 Reactome	 hsapiens	 9	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9632974
"""Response of EIF2AK4 (GCN2) to amino acid deficiency"" pathway"	R-HSA-9633012	 Reactome	 hsapiens	 104	 4746	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9633012
"""Constitutive Signaling by Overexpressed ERBB2"" pathway"	R-HSA-9634285	 Reactome	 hsapiens	 16	 80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9634285
"""Regulation of glycolysis by fructose 2,6-bisphosphate metabolism"" pathway"	R-HSA-9634600	 Reactome	 hsapiens	 18	 67	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9634600
"""Estrogen-stimulated signaling through PRKCZ"" pathway"	R-HSA-9634635	 Reactome	 hsapiens	 11	 64	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9634635
"""Estrogen-dependent nuclear events downstream of ESR-membrane signaling"" pathway"	R-HSA-9634638	 Reactome	 hsapiens	 26	 63	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9634638
"""Suppression of apoptosis"" pathway"	R-HSA-9635465	 Reactome	 hsapiens	 14	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9635465
"""Infection with Mycobacterium tuberculosis"" pathway"	R-HSA-9635486	 Reactome	 hsapiens	 133	 460	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9635486
"""Inhibition of membrane repair"" pathway"	R-HSA-9635644	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9635644
"""Inhibition of nitric oxide production"" pathway"	R-HSA-9636249	 Reactome	 hsapiens	 4	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9636249
"""Prevention of phagosomal-lysosomal fusion"" pathway"	R-HSA-9636383	 Reactome	 hsapiens	 26	 64	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9636383
"""Blockage of phagosome acidification"" pathway"	R-HSA-9636467	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9636467
"""Suppression of autophagy"" pathway"	R-HSA-9636569	 Reactome	 hsapiens	 7	 10	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9636569
"""Manipulation of host energy metabolism"" pathway"	R-HSA-9636667	 Reactome	 hsapiens	 3	 2	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9636667
"""Modulation by Mtb of host immune system"" pathway"	R-HSA-9637628	 Reactome	 hsapiens	 11	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9637628
"""Suppression of phagosomal maturation"" pathway"	R-HSA-9637687	 Reactome	 hsapiens	 31	 69	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9637687
"""Response of Mtb to phagocytosis"" pathway"	R-HSA-9637690	 Reactome	 hsapiens	 50	 90	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9637690
"""Amino acids regulate mTORC1"" pathway"	R-HSA-9639288	 Reactome	 hsapiens	 61	 2205	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9639288
"""Antimicrobial action and antimicrobial resistance in Mtb"" pathway"	R-HSA-9639775	 Reactome	 hsapiens	 7	 32	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9639775
"""Wax biosynthesis"" pathway"	R-HSA-9640463	 Reactome	 hsapiens	 16	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9640463
"""STAT5 Activation"" pathway"	R-HSA-9645135	 Reactome	 hsapiens	 9	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9645135
"""ALPK1 signaling pathway"" pathway"	R-HSA-9645460	 Reactome	 hsapiens	 14	 92	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9645460
"""Diseases of programmed cell death"" pathway"	R-HSA-9645723	 Reactome	 hsapiens	 78	 754	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9645723
"""Aggrephagy"" pathway"	R-HSA-9646399	 Reactome	 hsapiens	 25	 214	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9646399
"""N-glycan trimming and elongation in the cis-Golgi"" pathway"	R-HSA-964739	 Reactome	 hsapiens	 18	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-964739
"""RAS processing"" pathway"	R-HSA-9648002	 Reactome	 hsapiens	 40	 219	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9648002
"""EML4 and NUDC in mitotic spindle formation"" pathway"	R-HSA-9648025	 Reactome	 hsapiens	 100	 4473	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9648025
"""Response of EIF2AK1 (HRI) to heme deficiency"" pathway"	R-HSA-9648895	 Reactome	 hsapiens	 18	 60	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9648895
"""Vitamins B6 activation to pyridoxal phosphate"" pathway"	R-HSA-964975	 Reactome	 hsapiens	 21	 84	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-964975
"""Signaling downstream of RAS mutants"" pathway"	R-HSA-9649948	 Reactome	 hsapiens	 50	 1430	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9649948
"""Defects of Formation of Fibrin Clot (Clotting Cascade)"" pathway"	R-HSA-9651496	 Reactome	 hsapiens	 20	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9651496
"""Signaling by MAP2K mutants"" pathway"	R-HSA-9652169	 Reactome	 hsapiens	 6	 13	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9652169
"""Drug-mediated inhibition of ERBB2 signaling"" pathway"	R-HSA-9652282	 Reactome	 hsapiens	 5	 10	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9652282
"""Signaling by MAPK mutants"" pathway"	R-HSA-9652817	 Reactome	 hsapiens	 8	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9652817
"""Signaling by RAF1 mutants"" pathway"	R-HSA-9656223	 Reactome	 hsapiens	 46	 836	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9656223
"""Defective factor XII causes hereditary angioedema"" pathway"	R-HSA-9657688	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9657688
"""Leishmania infection"" pathway"	R-HSA-9658195	 Reactome	 hsapiens	 400	 12474	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9658195
"""Sensory processing of sound"" pathway"	R-HSA-9659379	 Reactome	 hsapiens	 84	 2065	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9659379
"""Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects"" pathway"	R-HSA-9659787	 Reactome	 hsapiens	 17	 95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9659787
"""Signaling by MRAS-complex mutants"" pathway"	R-HSA-9660537	 Reactome	 hsapiens	 11	 71	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9660537
"""ADORA2B mediated anti-inflammatory cytokines production"" pathway"	R-HSA-9660821	 Reactome	 hsapiens	 158	 5364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9660821
"""Purinergic signaling in leishmaniasis infection"" pathway"	R-HSA-9660826	 Reactome	 hsapiens	 50	 152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9660826
"""Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"" pathway"	R-HSA-9661069	 Reactome	 hsapiens	 17	 95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9661069
"""Defective factor VIII causes hemophilia A"" pathway"	R-HSA-9662001	 Reactome	 hsapiens	 9	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662001
"""Sensory processing of sound by inner hair cells of the cochlea"" pathway"	R-HSA-9662360	 Reactome	 hsapiens	 73	 1745	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662360
"""Sensory processing of sound by outer hair cells of the cochlea"" pathway"	R-HSA-9662361	 Reactome	 hsapiens	 61	 1579	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662361
"""CD163 mediating an anti-inflammatory response"" pathway"	R-HSA-9662834	 Reactome	 hsapiens	 13	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662834
"""Anti-inflammatory response favouring Leishmania parasite infection"" pathway"	R-HSA-9662851	 Reactome	 hsapiens	 294	 9592	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662851
"""Selective autophagy"" pathway"	R-HSA-9663891	 Reactome	 hsapiens	 67	 469	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9663891
"""FCGR3A-mediated IL10 synthesis"" pathway"	R-HSA-9664323	 Reactome	 hsapiens	 140	 4228	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664323
"""Parasite infection"" pathway"	R-HSA-9664407	 Reactome	 hsapiens	 157	 5999	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664407
"""Leishmania phagocytosis"" pathway"	R-HSA-9664417	 Reactome	 hsapiens	 157	 5999	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664417
"""Killing mechanisms"" pathway"	R-HSA-9664420	 Reactome	 hsapiens	 20	 153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664420
"""FCGR3A-mediated phagocytosis"" pathway"	R-HSA-9664422	 Reactome	 hsapiens	 157	 5999	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664422
"""Cell recruitment (pro-inflammatory response)"" pathway"	R-HSA-9664424	 Reactome	 hsapiens	 50	 152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664424
"""Leishmania parasite growth and survival"" pathway"	R-HSA-9664433	 Reactome	 hsapiens	 294	 9592	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664433
"""LTC4-CYSLTR mediated IL4 production"" pathway"	R-HSA-9664535	 Reactome	 hsapiens	 14	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664535
"""Signaling by ERBB2 KD Mutants"" pathway"	R-HSA-9664565	 Reactome	 hsapiens	 32	 370	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664565
"""Pexophagy"" pathway"	R-HSA-9664873	 Reactome	 hsapiens	 13	 56	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664873
"""Drug resistance in ERBB2 KD mutants"" pathway"	R-HSA-9665230	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665230
"""Resistance of ERBB2 KD mutants to trastuzumab"" pathway"	R-HSA-9665233	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665233
"""Resistance of ERBB2 KD mutants to sapitinib"" pathway"	R-HSA-9665244	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665244
"""Resistance of ERBB2 KD mutants to tesevatinib"" pathway"	R-HSA-9665245	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665245
"""Resistance of ERBB2 KD mutants to neratinib"" pathway"	R-HSA-9665246	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665246
"""Resistance of ERBB2 KD mutants to osimertinib"" pathway"	R-HSA-9665247	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665247
"""Resistance of ERBB2 KD mutants to afatinib"" pathway"	R-HSA-9665249	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665249
"""Resistance of ERBB2 KD mutants to AEE788"" pathway"	R-HSA-9665250	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665250
"""Resistance of ERBB2 KD mutants to lapatinib"" pathway"	R-HSA-9665251	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665251
"""Signaling by ERBB2 ECD mutants"" pathway"	R-HSA-9665348	 Reactome	 hsapiens	 22	 158	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665348
"""Signaling by ERBB2 TMD/JMD mutants"" pathway"	R-HSA-9665686	 Reactome	 hsapiens	 26	 241	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665686
"""Drug resistance in ERBB2 TMD/JMD mutants"" pathway"	R-HSA-9665737	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665737
"""Acetylcholine inhibits contraction of outer hair cells"" pathway"	R-HSA-9667769	 Reactome	 hsapiens	 8	 18	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9667769
"""Defective factor IX causes hemophilia B"" pathway"	R-HSA-9668250	 Reactome	 hsapiens	 13	 25	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9668250
"""Sealing of the nuclear envelope (NE) by ESCRT-III"" pathway"	R-HSA-9668328	 Reactome	 hsapiens	 39	 655	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9668328
"""Signaling by KIT in disease"" pathway"	R-HSA-9669938	 Reactome	 hsapiens	 26	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9669938
"""Inhibition of DNA recombination at telomere"" pathway"	R-HSA-9670095	 Reactome	 hsapiens	 48	 617	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9670095
"""Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"" pathway"	R-HSA-9670439	 Reactome	 hsapiens	 26	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9670439
"""Signaling by PDGFR in disease"" pathway"	R-HSA-9671555	 Reactome	 hsapiens	 26	 149	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9671555
"""Diseases of hemostasis"" pathway"	R-HSA-9671793	 Reactome	 hsapiens	 20	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9671793
"""Defective factor IX causes thrombophilia"" pathway"	R-HSA-9672383	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9672383
"""Defective F8 cleavage by thrombin"" pathway"	R-HSA-9672391	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9672391
"""Defective cofactor function of FVIIIa variant"" pathway"	R-HSA-9672396	 Reactome	 hsapiens	 4	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9672396
"""Defective F9 variant does not activate FX"" pathway"	R-HSA-9673202	 Reactome	 hsapiens	 4	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673202
"""Defective F9 activation"" pathway"	R-HSA-9673221	 Reactome	 hsapiens	 7	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673221
"""Defective gamma-carboxylation of F9"" pathway"	R-HSA-9673240	 Reactome	 hsapiens	 5	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673240
"""WNT5:FZD7-mediated leishmania damping"" pathway"	R-HSA-9673324	 Reactome	 hsapiens	 20	 153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673324
"""Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants"" pathway"	R-HSA-9673767	 Reactome	 hsapiens	 18	 74	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673767
"""Signaling by PDGFRA extracellular domain mutants"" pathway"	R-HSA-9673770	 Reactome	 hsapiens	 18	 74	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9673770
"""Defective F8 sulfation at Y1699"" pathway"	R-HSA-9674519	 Reactome	 hsapiens	 4	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9674519
"""Signaling by CSF3 (G-CSF)"" pathway"	R-HSA-9674555	 Reactome	 hsapiens	 33	 587	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9674555
"""Nervous system development"" pathway"	R-HSA-9675108	 Reactome	 hsapiens	 571	 10857	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9675108
"""Diseases of mitotic cell cycle"" pathway"	R-HSA-9675126	 Reactome	 hsapiens	 35	 248	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9675126
"""Diseases of the neuronal system"" pathway"	R-HSA-9675143	 Reactome	 hsapiens	 27	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9675143
"""Disorders of Developmental Biology"" pathway"	R-HSA-9675151	 Reactome	 hsapiens	 14	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9675151
"""SARS-CoV-1 Infection"" pathway"	R-HSA-9678108	 Reactome	 hsapiens	 88	 419	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9678108
"""Attachment and Entry"" pathway"	R-HSA-9678110	 Reactome	 hsapiens	 16	 94	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9678110
"""Potential therapeutics for SARS"" pathway"	R-HSA-9679191	 Reactome	 hsapiens	 62	 218	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679191
"""Translation of Replicase and Assembly of the Replication Transcription Complex"" pathway"	R-HSA-9679504	 Reactome	 hsapiens	 21	 91	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679504
"""SARS-CoV Infections"" pathway"	R-HSA-9679506	 Reactome	 hsapiens	 176	 981	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679506
"""Virion Assembly and Release"" pathway"	R-HSA-9679509	 Reactome	 hsapiens	 6	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679509
"""SARS-CoV-1 Genome Replication and Transcription"" pathway"	R-HSA-9679514	 Reactome	 hsapiens	 18	 88	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679514
"""FLT3 signaling in disease"" pathway"	R-HSA-9682385	 Reactome	 hsapiens	 37	 258	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9682385
"""Replication of the SARS-CoV-1 genome"" pathway"	R-HSA-9682706	 Reactome	 hsapiens	 18	 81	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9682706
"""Transcription of SARS-CoV-1 sgRNAs"" pathway"	R-HSA-9682708	 Reactome	 hsapiens	 11	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9682708
"""Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)"" pathway"	R-HSA-9683439	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683439
"""Maturation of nucleoprotein"" pathway"	R-HSA-9683610	 Reactome	 hsapiens	 16	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683610
"""Maturation of protein 3a"" pathway"	R-HSA-9683673	 Reactome	 hsapiens	 15	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683673
"""Maturation of protein E"" pathway"	R-HSA-9683683	 Reactome	 hsapiens	 8	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683683
"""Maturation of spike protein"" pathway"	R-HSA-9683686	 Reactome	 hsapiens	 13	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683686
"""Translation of structural proteins"" pathway"	R-HSA-9683701	 Reactome	 hsapiens	 47	 136	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9683701
"""Maturation of replicase proteins"" pathway"	R-HSA-9684325	 Reactome	 hsapiens	 6	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9684325
"""Microbial modulation of RIPK1-mediated regulated necrosis"" pathway"	R-HSA-9686347	 Reactome	 hsapiens	 9	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9686347
"""Aberrant regulation of mitotic exit in cancer due to RB1 defects"" pathway"	R-HSA-9687136	 Reactome	 hsapiens	 18	 153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9687136
"""Aberrant regulation of mitotic cell cycle due to RB1 defects"" pathway"	R-HSA-9687139	 Reactome	 hsapiens	 35	 248	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9687139
"""Transcriptional regulation of testis differentiation"" pathway"	R-HSA-9690406	 Reactome	 hsapiens	 12	 28	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9690406
"""Defective RIPK1-mediated regulated necrosis"" pathway"	R-HSA-9693928	 Reactome	 hsapiens	 5	 10	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9693928
"""Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)"" pathway"	R-HSA-9694271	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694271
"""Maturation of replicase proteins"" pathway"	R-HSA-9694301	 Reactome	 hsapiens	 6	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694301
"""Virion Assembly and Release"" pathway"	R-HSA-9694322	 Reactome	 hsapiens	 6	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694322
"""Maturation of protein E"" pathway"	R-HSA-9694493	 Reactome	 hsapiens	 8	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694493
"""SARS-CoV-2 Infection"" pathway"	R-HSA-9694516	 Reactome	 hsapiens	 100	 512	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694516
"""Maturation of spike protein"" pathway"	R-HSA-9694548	 Reactome	 hsapiens	 36	 92	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694548
"""Attachment and Entry"" pathway"	R-HSA-9694614	 Reactome	 hsapiens	 12	 124	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694614
"""Maturation of nucleoprotein"" pathway"	R-HSA-9694631	 Reactome	 hsapiens	 16	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694631
"""Translation of structural proteins"" pathway"	R-HSA-9694635	 Reactome	 hsapiens	 64	 192	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694635
"""Translation of Replicase and Assembly of the Replication Transcription Complex"" pathway"	R-HSA-9694676	 Reactome	 hsapiens	 20	 88	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694676
"""SARS-CoV-2 Genome Replication and Transcription"" pathway"	R-HSA-9694682	 Reactome	 hsapiens	 18	 88	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694682
"""Replication of the SARS-CoV-2 genome"" pathway"	R-HSA-9694686	 Reactome	 hsapiens	 18	 81	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694686
